  Origins   | Flows 
 1476086524 |  1032
 2728257183 |  1032
  843232233 |  1029
 2728230263 |  1016
 3512419034 |  1014
 1268698298 |  1014
 3487845894 |  1009
 1150425364 |  1006
  878831829 |  1004
 1179179121 |   996
 2919249668 |   992
 1150296359 |   990
 1995475186 |   987
 1179515697 |   985
  878831813 |   982
 1807630480 |   975
 1150476103 |   958
 1150372154 |   950
  764494400 |   946
 1823326360 |   946
  406877281 |   939
 1268647196 |   935
 1179173367 |   933
 3091232809 |   933
 1476086315 |   931
 1089055964 |   925
 3435116578 |   921
 1507044286 |   916
  878819989 |   916
  764236894 |   915
  844957637 |   911
  845401488 |   909
 3256491345 |   904
 1179206608 |   902
  844985332 |   901
 1179467908 |   901
 1150487232 |   900
  843207979 |   895
 1179472041 |   887
 1150371057 |   887
  407009914 |   882
 3346952365 |   882
 1613995438 |   881
  387050206 |   878
  416586366 |   878
 1268673971 |   877
 3091211534 |   876
 1179093756 |   875
 1089055962 |   874
  845355616 |   872
 1150419111 |   872
 1121886343 |   869
 1823313654 |   868
 2919300564 |   868
 2914491616 |   867
 1268553839 |   866
  628246772 |   860
  844973326 |   860
 1089055960 |   857
 1150492538 |   855
 2919283619 |   855
  677453501 |   854
 1179233528 |   851
 1150297211 |   849
  406909274 |   846
 2892479739 |   843
  387006385 |   841
  677720741 |   838
 3091233503 |   835
  878819957 |   832
 1179457517 |   831
  763915633 |   828
 1150472782 |   828
  406879086 |   826
 3325408755 |   826
 1268511986 |   826
 3113863164 |   823
 1230686408 |   821
 1150350083 |   819
 2728232631 |   819
 1150444232 |   816
 2097962294 |   811
 1179369644 |   811
 1179250151 |   810
 1179506861 |   810
 2919300394 |   809
  845389648 |   804
 2809311885 |   796
 1150297219 |   794
 1268724987 |   792
 3091233681 |   788
  677715477 |   788
 1268766158 |   786
 3091233734 |   784
  407004848 |   779
 1268647242 |   778
 1150485375 |   776
  677390581 |   775
 3275137079 |   772
  677720389 |   772
 3332788142 |   771
 1179217968 |   770
 1235637063 |   770
 1509468045 |   770
  406979781 |   767
  677720981 |   765
  844917883 |   763
 2728228113 |   761
 1268750639 |   760
 3107519657 |   760
 1398871075 |   759
 2919296271 |   754
 1179167354 |   751
 2310699750 |   748
 3091250893 |   747
 1150425136 |   746
  677724581 |   744
  677729301 |   743
  677720165 |   742
  677740149 |   740
 1168679075 |   740
  843223013 |   739
  677721045 |   738
 1476086313 |   738
 1179356539 |   737
 1613997308 |   736
 1614018065 |   735
 3332788030 |   730
  406891073 |   730
  677740389 |   728
 1121880728 |   728
  628246777 |   727
 2919300566 |   726
 1121880529 |   724
  843231773 |   724
  677720133 |   721
  677720581 |   720
  677720773 |   716
 1613998248 |   716
 1150462479 |   712
 1613991715 |   712
  677715845 |   710
 1179353898 |   710
  628246675 |   709
  677715701 |   708
 1542485508 |   707
 2386239213 |   706
  763915761 |   704
 1213425508 |   704
  677720997 |   701
  677740245 |   701
 1315258671 |   698
 3332789089 |   698
 1150505503 |   698
 1268751377 |   696
 1823286742 |   696
 1178681586 |   695
 3325406666 |   695
 1179180253 |   694
  677715685 |   693
 1150489173 |   693
  677740373 |   692
 1542485516 |   692
 2386279308 |   692
 1758279044 |   691
  407395053 |   690
  677721029 |   690
 3113862432 |   690
  406214825 |   689
  677729285 |   689
 1571708331 |   688
  677715141 |   687
  677720405 |   687
 2310678802 |   686
  406891641 |   685
 1150423655 |   682
  407010884 |   680
  137039578 |   679
 1150485543 |   679
 1179192518 |   679
 1315839505 |   678
 1150488745 |   677
 1179231526 |   675
 2900074091 |   675
  677724645 |   675
